relationship_id,person_id_a,person_id_b,relationship_type,directed,strength,source,description
REL0000016,P00011,P02675,coworker,false,0.49,shared_team,两人在 Synthetic Hotel 04790 @ Hyatt Regency Toronto 的同一工作团队任职。
REL0000017,P00011,P04599,coworker,false,0.78,shared_team,两人在 Synthetic Hotel 04790 @ Hyatt Regency Toronto 的同一工作团队任职。
REL0000018,P00011,P05543,coworker,false,0.50,shared_team,两人在 Synthetic Hotel 04790 @ Hyatt Regency Toronto 的同一工作团队任职。
REL0000019,P00011,P06528,coworker,false,0.71,shared_team,两人在 Synthetic Hotel 04790 @ Hyatt Regency Toronto 的同一工作团队任职。
REL0000020,P00011,P06989,coworker,false,0.53,shared_team,两人在 Synthetic Hotel 04790 @ Hyatt Regency Toronto 的同一工作团队任职。
REL0000021,P00011,P09659,coworker,false,0.76,shared_team,两人在 Synthetic Hotel 04790 @ Hyatt Regency Toronto 的同一工作团队任职。
REL0000022,P00012,P00646,coworker,false,0.60,shared_team,两人在 Synthetic Office 04399 @ 555 Yonge Street 的同一工作团队任职。
REL0000023,P00012,P04530,coworker,false,0.81,shared_team,两人在 Synthetic Office 04399 @ 555 Yonge Street 的同一工作团队任职。
REL0000024,P00012,P04955,coworker,false,0.48,shared_team,两人在 Synthetic Office 04399 @ 555 Yonge Street 的同一工作团队任职。
REL0000025,P00012,P06180,coworker,false,0.63,shared_team,两人在 Synthetic Office 04399 @ 555 Yonge Street 的同一工作团队任职。
REL0000026,P00012,P07876,coworker,false,0.49,shared_team,两人在 Synthetic Office 04399 @ 555 Yonge Street 的同一工作团队任职。
REL0000027,P00012,P09307,coworker,false,0.55,shared_team,两人在 Synthetic Office 04399 @ 555 Yonge Street 的同一工作团队任职。
REL0000028,P00014,P00738,coworker,false,0.74,shared_team,两人在 Synthetic Office 04732 @ 150 Eglinton Avenue East 的同一工作团队任职。
REL0000029,P00014,P01055,coworker,false,0.76,shared_team,两人在 Synthetic Office 04732 @ 150 Eglinton Avenue East 的同一工作团队任职。
REL0000030,P00016,P00108,coworker,false,0.76,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000031,P00016,P00628,coworker,false,0.51,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000032,P00016,P02272,coworker,false,0.71,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000033,P00016,P02477,coworker,false,0.68,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000034,P00016,P03764,coworker,false,0.79,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000035,P00016,P09153,coworker,false,0.59,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000036,P00025,P03660,coworker,false,0.53,shared_team,两人在 Synthetic Office 04644 @ Shenyang Machine Tool Group 的同一工作团队任职。
REL0000037,P00026,P05964,coworker,false,0.57,shared_team,两人在 Synthetic University 03011 @ Massey College 的同一工作团队任职。
REL0000038,P00032,P03161,coworker,false,0.67,shared_team,两人在 Synthetic Commercial 04921 @ OSM commercial W658018645 的同一工作团队任职。
REL0000039,P00032,P07189,coworker,false,0.68,shared_team,两人在 Synthetic Commercial 04921 @ OSM commercial W658018645 的同一工作团队任职。
REL0000040,P00032,P07572,coworker,false,0.55,shared_team,两人在 Synthetic Commercial 04921 @ OSM commercial W658018645 的同一工作团队任职。
REL0000041,P00033,P00118,coworker,false,0.81,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000042,P00033,P01518,coworker,false,0.61,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000043,P00033,P02432,coworker,false,0.72,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000044,P00033,P02442,coworker,false,0.53,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000045,P00033,P06097,coworker,false,0.68,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000046,P00033,P08372,coworker,false,0.68,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000047,P00033,P09087,coworker,false,0.76,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000048,P00033,P09346,coworker,false,0.74,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000049,P00033,P09970,coworker,false,0.57,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000050,P00041,P07228,coworker,false,0.48,shared_team,两人在 Synthetic Commercial 05654 @ OSM commercial W662100744 的同一工作团队任职。
REL0000051,P00043,P01446,coworker,false,0.47,shared_team,两人在 Synthetic University 00104 @ Bitts International Career College 的同一工作团队任职。
REL0000052,P00043,P01968,coworker,false,0.77,shared_team,两人在 Synthetic University 00104 @ Bitts International Career College 的同一工作团队任职。
REL0000053,P00043,P02676,coworker,false,0.58,shared_team,两人在 Synthetic University 00104 @ Bitts International Career College 的同一工作团队任职。
REL0000054,P00043,P05903,coworker,false,0.57,shared_team,两人在 Synthetic University 00104 @ Bitts International Career College 的同一工作团队任职。
REL0000055,P00043,P09364,coworker,false,0.72,shared_team,两人在 Synthetic University 00104 @ Bitts International Career College 的同一工作团队任职。
REL0000056,P00044,P07296,coworker,false,0.56,shared_team,两人在 Synthetic Commercial 05889 @ OSM commercial W669624360 的同一工作团队任职。
REL0000057,P00045,P00553,coworker,false,0.56,shared_team,两人在 Synthetic Office 03580 @ 1 Valleybrook Drive 的同一工作团队任职。
REL0000058,P00045,P01600,coworker,false,0.46,shared_team,两人在 Synthetic Office 03580 @ 1 Valleybrook Drive 的同一工作团队任职。
REL0000059,P00045,P04967,coworker,false,0.55,shared_team,两人在 Synthetic Office 03580 @ 1 Valleybrook Drive 的同一工作团队任职。
REL0000060,P00047,P03305,coworker,false,0.47,shared_team,两人在 Synthetic Office 05574 @ 1674 Eglinton Avenue West 的同一工作团队任职。
REL0000061,P00048,P01730,coworker,false,0.71,shared_team,两人在 Synthetic Commercial 05020 @ OSM commercial W659322530 的同一工作团队任职。
REL0000062,P00048,P08927,coworker,false,0.73,shared_team,两人在 Synthetic Commercial 05020 @ OSM commercial W659322530 的同一工作团队任职。
REL0000063,P00048,P09901,coworker,false,0.75,shared_team,两人在 Synthetic Commercial 05020 @ OSM commercial W659322530 的同一工作团队任职。
REL0000064,P00049,P02655,coworker,false,0.60,shared_team,两人在 Synthetic Commercial 06680 @ 100 Queens Quay East 的同一工作团队任职。
REL0000065,P00049,P03059,coworker,false,0.53,shared_team,两人在 Synthetic Commercial 06680 @ 100 Queens Quay East 的同一工作团队任职。
REL0000066,P00049,P04354,coworker,false,0.65,shared_team,两人在 Synthetic Commercial 06680 @ 100 Queens Quay East 的同一工作团队任职。
REL0000067,P00049,P05596,coworker,false,0.76,shared_team,两人在 Synthetic Commercial 06680 @ 100 Queens Quay East 的同一工作团队任职。
REL0000068,P00050,P01530,coworker,false,0.67,shared_team,两人在 Synthetic Office 03238 @ ETFO 的同一工作团队任职。
REL0000069,P00050,P02028,coworker,false,0.76,shared_team,两人在 Synthetic Office 03238 @ ETFO 的同一工作团队任职。
REL0000070,P00050,P03139,coworker,false,0.58,shared_team,两人在 Synthetic Office 03238 @ ETFO 的同一工作团队任职。
REL0000071,P00050,P05226,coworker,false,0.70,shared_team,两人在 Synthetic Office 03238 @ ETFO 的同一工作团队任职。
REL0000072,P00052,P06937,coworker,false,0.81,shared_team,两人在 Synthetic Commercial 03436 @ OSM commercial W302103495 的同一工作团队任职。
REL0000073,P00054,P02116,coworker,false,0.52,shared_team,两人在 Synthetic Office 03369 @ TD West Tower 的同一工作团队任职。
REL0000074,P00056,P07213,coworker,false,0.62,shared_team,两人在 Synthetic Commercial 03060 @ OSM commercial W165787889 的同一工作团队任职。
REL0000075,P00056,P08492,coworker,false,0.54,shared_team,两人在 Synthetic Commercial 03060 @ OSM commercial W165787889 的同一工作团队任职。
REL0000076,P00057,P00376,coworker,false,0.81,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000077,P00057,P00391,coworker,false,0.67,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000078,P00057,P03554,coworker,false,0.46,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000079,P00057,P04091,coworker,false,0.55,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000080,P00057,P05432,coworker,false,0.51,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000081,P00057,P06583,coworker,false,0.51,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000082,P00057,P08204,coworker,false,0.63,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000083,P00057,P09296,coworker,false,0.53,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000084,P00057,P09592,coworker,false,0.76,shared_team,两人在 Synthetic Commercial 02707 @ Padulo Building 的同一工作团队任职。
REL0000085,P00060,P00363,coworker,false,0.60,shared_team,两人在 Synthetic University 03273 @ Victoria Building 的同一工作团队任职。
REL0000086,P00060,P02291,coworker,false,0.64,shared_team,两人在 Synthetic University 03273 @ Victoria Building 的同一工作团队任职。
REL0000087,P00060,P05205,coworker,false,0.72,shared_team,两人在 Synthetic University 03273 @ Victoria Building 的同一工作团队任职。
REL0000088,P00060,P07260,coworker,false,0.59,shared_team,两人在 Synthetic University 03273 @ Victoria Building 的同一工作团队任职。
REL0000089,P00060,P07669,coworker,false,0.50,shared_team,两人在 Synthetic University 03273 @ Victoria Building 的同一工作团队任职。
REL0000090,P00060,P09662,coworker,false,0.67,shared_team,两人在 Synthetic University 03273 @ Victoria Building 的同一工作团队任职。
REL0000091,P00063,P03634,coworker,false,0.49,shared_team,两人在 Synthetic Industrial 03775 @ OSM industrial W33362896 的同一工作团队任职。
REL0000092,P00065,P01496,coworker,false,0.60,shared_team,两人在 Synthetic Commercial 05192 @ OSM commercial W659632945 的同一工作团队任职。
REL0000093,P00065,P04543,coworker,false,0.57,shared_team,两人在 Synthetic Commercial 05192 @ OSM commercial W659632945 的同一工作团队任职。
REL0000094,P00073,P00345,coworker,false,0.64,shared_team,两人在 Synthetic Commercial 03966 @ 5225 Orbitor Drive 的同一工作团队任职。
REL0000095,P00073,P06737,coworker,false,0.80,shared_team,两人在 Synthetic Commercial 03966 @ 5225 Orbitor Drive 的同一工作团队任职。
REL0000096,P00073,P06793,coworker,false,0.69,shared_team,两人在 Synthetic Commercial 03966 @ 5225 Orbitor Drive 的同一工作团队任职。
REL0000097,P00073,P06823,coworker,false,0.71,shared_team,两人在 Synthetic Commercial 03966 @ 5225 Orbitor Drive 的同一工作团队任职。
REL0000098,P00074,P01491,coworker,false,0.58,shared_team,两人在 Synthetic Office 06576 @ eBSEG 的同一工作团队任职。
REL0000099,P00074,P01954,coworker,false,0.69,shared_team,两人在 Synthetic Office 06576 @ eBSEG 的同一工作团队任职。
REL0000100,P00074,P04545,coworker,false,0.74,shared_team,两人在 Synthetic Office 06576 @ eBSEG 的同一工作团队任职。
REL0000101,P00074,P05954,coworker,false,0.64,shared_team,两人在 Synthetic Office 06576 @ eBSEG 的同一工作团队任职。
REL0000102,P00074,P07480,coworker,false,0.76,shared_team,两人在 Synthetic Office 06576 @ eBSEG 的同一工作团队任职。
REL0000103,P00074,P09548,coworker,false,0.66,shared_team,两人在 Synthetic Office 06576 @ eBSEG 的同一工作团队任职。
REL0000104,P00076,P01533,coworker,false,0.59,shared_team,两人在 Synthetic Commercial 05848 @ OSM commercial W663828131 的同一工作团队任职。
REL0000105,P00076,P03046,coworker,false,0.61,shared_team,两人在 Synthetic Commercial 05848 @ OSM commercial W663828131 的同一工作团队任职。
REL0000106,P00076,P03696,coworker,false,0.59,shared_team,两人在 Synthetic Commercial 05848 @ OSM commercial W663828131 的同一工作团队任职。
REL0000107,P00076,P07347,coworker,false,0.66,shared_team,两人在 Synthetic Commercial 05848 @ OSM commercial W663828131 的同一工作团队任职。
REL0000108,P00079,P01624,coworker,false,0.69,shared_team,两人在 Synthetic Hotel 03244 @ Southcore Financial Centre Delta Hotel 的同一工作团队任职。
REL0000109,P00079,P04022,coworker,false,0.82,shared_team,两人在 Synthetic Hotel 03244 @ Southcore Financial Centre Delta Hotel 的同一工作团队任职。
REL0000110,P00079,P05450,coworker,false,0.54,shared_team,两人在 Synthetic Hotel 03244 @ Southcore Financial Centre Delta Hotel 的同一工作团队任职。
REL0000111,P00079,P06871,coworker,false,0.51,shared_team,两人在 Synthetic Hotel 03244 @ Southcore Financial Centre Delta Hotel 的同一工作团队任职。
REL0000112,P00079,P07718,coworker,false,0.75,shared_team,两人在 Synthetic Hotel 03244 @ Southcore Financial Centre Delta Hotel 的同一工作团队任职。
REL0000113,P00079,P08053,coworker,false,0.53,shared_team,两人在 Synthetic Hotel 03244 @ Southcore Financial Centre Delta Hotel 的同一工作团队任职。
REL0000114,P00079,P08133,coworker,false,0.55,shared_team,两人在 Synthetic Hotel 03244 @ Southcore Financial Centre Delta Hotel 的同一工作团队任职。
REL0000115,P00084,P04658,coworker,false,0.74,shared_team,两人在 Synthetic Cafe 01109 @ Tim Hortons 的同一工作团队任职。
REL0000116,P00085,P01075,coworker,false,0.68,shared_team,两人在 Synthetic Commercial 04724 @ OSM commercial W598637693 的同一工作团队任职。
REL0000117,P00085,P05712,coworker,false,0.57,shared_team,两人在 Synthetic Commercial 04724 @ OSM commercial W598637693 的同一工作团队任职。
REL0000118,P00085,P09254,coworker,false,0.55,shared_team,两人在 Synthetic Commercial 04724 @ OSM commercial W598637693 的同一工作团队任职。
REL0000119,P00087,P07536,coworker,false,0.62,shared_team,两人在 Synthetic Commercial 05424 @ OSM commercial W661194117 的同一工作团队任职。
REL0000120,P00089,P02137,coworker,false,0.80,shared_team,两人在 Synthetic Office 03365 @ First Canadian Place 的同一工作团队任职。
REL0000121,P00089,P06792,coworker,false,0.61,shared_team,两人在 Synthetic Office 03365 @ First Canadian Place 的同一工作团队任职。
REL0000122,P00089,P07735,coworker,false,0.70,shared_team,两人在 Synthetic Office 03365 @ First Canadian Place 的同一工作团队任职。
REL0000123,P00090,P00613,coworker,false,0.59,shared_team,两人在 Synthetic Cafe 00311 @ PrestoTea 的同一工作团队任职。
REL0000124,P00091,P01469,coworker,false,0.76,shared_team,两人在 Synthetic University 01424 @ Lambton College - Toronto Campus 的同一工作团队任职。
REL0000125,P00091,P04357,coworker,false,0.72,shared_team,两人在 Synthetic University 01424 @ Lambton College - Toronto Campus 的同一工作团队任职。
REL0000126,P00091,P04814,coworker,false,0.81,shared_team,两人在 Synthetic University 01424 @ Lambton College - Toronto Campus 的同一工作团队任职。
REL0000127,P00091,P05365,coworker,false,0.65,shared_team,两人在 Synthetic University 01424 @ Lambton College - Toronto Campus 的同一工作团队任职。
REL0000128,P00091,P07312,coworker,false,0.46,shared_team,两人在 Synthetic University 01424 @ Lambton College - Toronto Campus 的同一工作团队任职。
REL0000129,P00091,P07865,coworker,false,0.50,shared_team,两人在 Synthetic University 01424 @ Lambton College - Toronto Campus 的同一工作团队任职。
REL0000130,P00094,P00437,coworker,false,0.69,shared_team,两人在 Synthetic University 02515 @ Université de l'Ontario français 的同一工作团队任职。
REL0000131,P00094,P01711,coworker,false,0.59,shared_team,两人在 Synthetic University 02515 @ Université de l'Ontario français 的同一工作团队任职。
REL0000132,P00094,P02146,coworker,false,0.59,shared_team,两人在 Synthetic University 02515 @ Université de l'Ontario français 的同一工作团队任职。
REL0000133,P00094,P04678,coworker,false,0.61,shared_team,两人在 Synthetic University 02515 @ Université de l'Ontario français 的同一工作团队任职。
REL0000134,P00094,P05306,coworker,false,0.69,shared_team,两人在 Synthetic University 02515 @ Université de l'Ontario français 的同一工作团队任职。
REL0000135,P00094,P06290,coworker,false,0.46,shared_team,两人在 Synthetic University 02515 @ Université de l'Ontario français 的同一工作团队任职。
REL0000136,P00094,P09223,coworker,false,0.68,shared_team,两人在 Synthetic University 02515 @ Université de l'Ontario français 的同一工作团队任职。
REL0000137,P00095,P06997,coworker,false,0.49,shared_team,两人在 Synthetic Office 04688 @ 279 Yorkland Boulevard 的同一工作团队任职。
REL0000138,P00096,P07623,coworker,false,0.57,shared_team,两人在 Synthetic Commercial 06539 @ OSM commercial W796687023 的同一工作团队任职。
REL0000139,P00099,P02386,coworker,false,0.58,shared_team,两人在 Synthetic University 04365 @ Humber Polytechnic - Lakeshore Campus 的同一工作团队任职。
REL0000140,P00099,P02792,coworker,false,0.45,shared_team,两人在 Synthetic University 04365 @ Humber Polytechnic - Lakeshore Campus 的同一工作团队任职。
REL0000141,P00099,P08983,coworker,false,0.75,shared_team,两人在 Synthetic University 04365 @ Humber Polytechnic - Lakeshore Campus 的同一工作团队任职。
REL0000142,P00099,P09155,coworker,false,0.80,shared_team,两人在 Synthetic University 04365 @ Humber Polytechnic - Lakeshore Campus 的同一工作团队任职。
REL0000143,P00099,P09806,coworker,false,0.62,shared_team,两人在 Synthetic University 04365 @ Humber Polytechnic - Lakeshore Campus 的同一工作团队任职。
REL0000144,P00105,P01500,coworker,false,0.67,shared_team,两人在 Synthetic Commercial 03655 @ OSM commercial W32596553 的同一工作团队任职。
REL0000145,P00108,P00628,coworker,false,0.50,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000146,P00108,P02272,coworker,false,0.50,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000147,P00108,P03764,coworker,false,0.73,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000148,P00108,P04901,coworker,false,0.58,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000149,P00108,P09153,coworker,false,0.72,shared_team,两人在 Synthetic University 03274 @ Student Campus Centre 的同一工作团队任职。
REL0000150,P00111,P06060,coworker,false,0.68,shared_team,两人在 Synthetic Commercial 05405 @ OSM commercial W661078033 的同一工作团队任职。
REL0000151,P00118,P01518,coworker,false,0.60,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000152,P00118,P02432,coworker,false,0.67,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000153,P00118,P02442,coworker,false,0.79,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000154,P00118,P04757,coworker,false,0.38,shared_organization,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的不同团队工作。
REL0000155,P00118,P06097,coworker,false,0.73,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000156,P00118,P08372,coworker,false,0.51,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000157,P00118,P09087,coworker,false,0.50,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000158,P00118,P09346,coworker,false,0.80,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000159,P00118,P09970,coworker,false,0.66,shared_team,两人在 Synthetic Commercial 06686 @ OSM commercial W953878382 的同一工作团队任职。
REL0000160,P00119,P00336,coworker,false,0.81,shared_team,两人在 Synthetic Office 04792 @ North Tower 的同一工作团队任职。
REL0000161,P00119,P07511,coworker,false,0.69,shared_team,两人在 Synthetic Office 04792 @ North Tower 的同一工作团队任职。
REL0000162,P00119,P07936,coworker,false,0.77,shared_team,两人在 Synthetic Office 04792 @ North Tower 的同一工作团队任职。
REL0000163,P00119,P08602,coworker,false,0.59,shared_team,两人在 Synthetic Office 04792 @ North Tower 的同一工作团队任职。
REL0000164,P00120,P05304,coworker,false,0.54,shared_team,两人在 Synthetic Office 04294 @ 128 Sterling Road 的同一工作团队任职。
REL0000165,P00123,P02058,coworker,false,0.58,shared_team,两人在 Synthetic University 00082 @ Anderson College 的同一工作团队任职。
REL0000166,P00123,P02238,coworker,false,0.77,shared_team,两人在 Synthetic University 00082 @ Anderson College 的同一工作团队任职。
REL0000167,P00123,P02764,coworker,false,0.52,shared_team,两人在 Synthetic University 00082 @ Anderson College 的同一工作团队任职。
REL0000168,P00123,P03014,coworker,false,0.57,shared_team,两人在 Synthetic University 00082 @ Anderson College 的同一工作团队任职。
REL0000169,P00123,P05021,coworker,false,0.73,shared_team,两人在 Synthetic University 00082 @ Anderson College 的同一工作团队任职。
REL0000170,P00123,P05259,coworker,false,0.70,shared_team,两人在 Synthetic University 00082 @ Anderson College 的同一工作团队任职。
REL0000171,P00123,P05877,coworker,false,0.73,shared_team,两人在 Synthetic University 00082 @ Anderson College 的同一工作团队任职。
REL0000172,P00126,P05536,coworker,false,0.66,shared_team,两人在 Synthetic Commercial 04149 @ OSM commercial W400575633 的同一工作团队任职。
REL0000173,P00129,P02926,coworker,false,0.73,shared_team,两人在 Synthetic Office 04223 @ Northbridge Place 的同一工作团队任职。
REL0000174,P00129,P04378,coworker,false,0.78,shared_team,两人在 Synthetic Office 04223 @ Northbridge Place 的同一工作团队任职。
REL0000175,P00129,P04909,coworker,false,0.73,shared_team,两人在 Synthetic Office 04223 @ Northbridge Place 的同一工作团队任职。
REL0000176,P00129,P07038,coworker,false,0.69,shared_team,两人在 Synthetic Office 04223 @ Northbridge Place 的同一工作团队任职。
REL0000177,P00132,P01727,coworker,false,0.52,shared_team,两人在 Synthetic University 03717 @ Centennial College 的同一工作团队任职。
REL0000178,P00132,P06123,coworker,false,0.54,shared_team,两人在 Synthetic University 03717 @ Centennial College 的同一工作团队任职。
REL0000179,P00134,P02234,coworker,false,0.64,shared_team,两人在 Synthetic Commercial 04203 @ OSM commercial W421084023 的同一工作团队任职。
REL0000180,P00138,P06586,coworker,false,0.56,shared_team,两人在 Synthetic Commercial 03414 @ OSM commercial W291464330 的同一工作团队任职。
REL0000181,P00143,P07675,coworker,false,0.69,shared_team,两人在 Synthetic Commercial 05534 @ OSM commercial W661770747 的同一工作团队任职。
REL0000182,P00146,P00760,coworker,false,0.77,shared_team,两人在 Synthetic Office 06359 @ CON-TECH Adki 的同一工作团队任职。
REL0000183,P00146,P09758,coworker,false,0.60,shared_team,两人在 Synthetic Office 06359 @ CON-TECH Adki 的同一工作团队任职。
REL0000184,P00147,P02881,coworker,false,0.51,shared_team,两人在 Synthetic Commercial 06590 @ OSM commercial W804386850 的同一工作团队任职。
REL0000185,P00149,P05246,coworker,false,0.75,shared_team,两人在 Synthetic Hotel 03406 @ Alt Hotel 的同一工作团队任职。
REL0000186,P00149,P06664,coworker,false,0.76,shared_team,两人在 Synthetic Hotel 03406 @ Alt Hotel 的同一工作团队任职。
REL0000187,P00149,P07685,coworker,false,0.48,shared_team,两人在 Synthetic Hotel 03406 @ Alt Hotel 的同一工作团队任职。
REL0000188,P00149,P09979,coworker,false,0.63,shared_team,两人在 Synthetic Hotel 03406 @ Alt Hotel 的同一工作团队任职。
REL0000189,P00150,P04360,coworker,false,0.58,shared_team,两人在 Synthetic University 02506 @ York Construction Academy 的同一工作团队任职。
REL0000190,P00150,P04706,coworker,false,0.79,shared_team,两人在 Synthetic University 02506 @ York Construction Academy 的同一工作团队任职。
REL0000191,P00150,P08265,coworker,false,0.61,shared_team,两人在 Synthetic University 02506 @ York Construction Academy 的同一工作团队任职。
REL0000192,P00150,P08916,coworker,false,0.62,shared_team,两人在 Synthetic University 02506 @ York Construction Academy 的同一工作团队任职。
REL0000193,P00151,P03551,coworker,false,0.70,shared_team,两人在 Synthetic Industrial 02596 @ OSM industrial W103619594 的同一工作团队任职。
REL0000194,P00153,P09796,coworker,false,0.59,shared_team,两人在 Synthetic Office 06205 @ 165 Avenue Road 的同一工作团队任职。
REL0000195,P00154,P00331,coworker,false,0.81,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000196,P00154,P01212,coworker,false,0.53,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000197,P00154,P01935,coworker,false,0.45,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000198,P00154,P05666,coworker,false,0.80,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000199,P00154,P05820,coworker,false,0.53,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000200,P00154,P08417,coworker,false,0.69,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000201,P00154,P08648,coworker,false,0.55,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000202,P00154,P09409,coworker,false,0.69,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000203,P00154,P09927,coworker,false,0.50,shared_team,两人在 Synthetic Commercial 03999 @ Balfour Building 的同一工作团队任职。
REL0000204,P00158,P03814,coworker,false,0.69,shared_team,两人在 Synthetic Commercial 06064 @ OSM commercial W674557300 的同一工作团队任职。
REL0000205,P00161,P04272,coworker,false,0.76,shared_team,两人在 Synthetic Office 03811 @ 15 Allstate Parkway 的同一工作团队任职。
